DataSet,Trial1,Trial2,Trial3,Trial4,Trial5
ints_20.txt,ints_20,258,263,277,261,242
ints_21.txt,ints_21,561,564,599,630,598
ints_22.txt,ints_22,1464,1360,1303,1422,1397
ints_23.txt,ints_23,2987,3071,3127,3033,3048
ints_24.txt,ints_24,6576,6498,6336,6674,6622
ints_25.txt,ints_25,14902,15098,14879,15008,14918
ints_26.txt,ints_26,32721,32295,33907,32657,32246
ints_27.txt,ints_27,70816,74561,71602,70722,70706
ints_28.txt,ints_28,162597,166705,163195,160058,162995
ints_29.txt,ints_29,354980,358591,360353,559945,644233
ints_30.txt,ints_30,808625,810077,830792,821317,786369
